Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP6,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,352,41,3.49472,21,171.29,7.54,14,1,12,5,12,11,0.050244466,0.029603614,0.149817618,0.770334302
MP6,2,7,3,2&2,1,1,2,3,5,6,12,18,285,55,3.36264,43,195.55,7.77,12,1,10,5,12,11,0.054610326,0.026042987,0.136362775,0.782983912
MP6,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,255,54,3.47739,48,191.22,7.19,11,1,10,3,11,11,0.091425269,0.046548199,0.152505599,0.709520932
MP6,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,318,27,3.51425,23,161,5.86,11,1,11,3,12,12,0.038256242,0.01148569,0.086742698,0.86351537
MP6,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,278,50,3.58075,38,175.96,6.51,10,1,10,2,9,9,0.051802756,0.025458736,0.141648936,0.781089572
MP6,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,310,40,3.53936,32,157.48,5.64,9,1,10,3,9,10,0.059007282,0.017964568,0.113242401,0.809785749
MP6,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,283,50,3.44487,41,233.74,9.38,15,1,13,5,15,13,0.078154841,0.040609179,0.122984652,0.758251328
MP6,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,310,57,3.49708,41,231.78,9.62,15,1,11,3,11,13,0.070292928,0.022318934,0.166868933,0.740519205
MP6,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,263,42,3.47414,38,170.68,6.14,20,1,20,20,20,20,0.047232382,0.025480612,0.085148861,0.842138146
MP7,2,1,1,2&1,0,0,0,2,2,0,2,2,272,15,3.03519,15,165.48,4.27,2,1,6,1,4,2,-13.02993395,0.02604072,-0.46100709,14.46490032
MP7,2,2,2,2&1,1,1,1,3,4,2,6,8,300,8,3.20611,11,143.49,3.64,2,2,10,3,2,4,1.215433852,0.006821504,0.129171914,-0.351427271
MP7,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,361,13,3.07704,8,211.77,6,8,2,10,3,8,2,0.724703317,0.016731826,0.142267794,0.116297063
MP7,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,381,13,3.10713,11,170.54,5.41,6,3,10,3,4,2,1.032784075,0.005511895,0.193247639,-0.231543609
MP7,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,319,22,2.98466,22,186.12,4.87,2,1,1,2,1,1,0.96006979,0.008180636,0.135111105,-0.103361531
MP7,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,413,20,3.12496,22,132.37,4.37,1,1,3,2,1,1,0.613332694,0.02605651,0.162820374,0.197790422
MP7,2,7,3,2&2,1,1,2,3,5,6,12,18,286,22,3.13492,15,166.26,5.93,3,1,3,5,5,2,0.819623393,0.002471638,0.159929099,0.01797587
MP7,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,475,26,3.05955,22,157.49,5.11,2,1,2,3,1,1,1.137876801,-0.009595809,0.254863169,-0.383144161
MP7,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,462,10,3.18425,16,145.54,4.11,7,2,6,3,3,2,0.749311629,0.025218969,0.160082157,0.065387245
MP7,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,573,24,3.09274,22,135.06,4.36,3,1,4,3,1,1,0.635106735,0.02591026,0.155206855,0.18377615
MP7,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,467,11,3.01917,13,128.76,3.81,10,1,13,3,10,3,0.772135211,0.019320849,0.182912456,0.025631484
MP7,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,429,24,2.98474,25,149.07,4.53,4,1,1,5,2,1,0.76345183,0.023232364,0.187373112,0.025942694
MP7,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,311,14,3.03776,14,152.7,4.49,12,4,8,4,10,4,0.938176428,0.003653703,0.176671643,-0.118501775
MP7,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,457,19,3.2115,18,176.84,5.31,10,1,10,10,10,4,0.620389336,0.024087131,0.187910759,0.167612774
MP8,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,5,5,1,2,5,2,-1.542578771,0.079609471,0.509390773,1.953578526
MP8,2,2,2,2&1,1,1,1,3,4,2,6,8,203,44,3.66413,24,177.34,6.24,9,1,5,6,10,2,-0.131029102,0.013931758,0.443649846,0.673447498
MP8,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,5,1,5,6,7,1,-0.235286911,0.006518332,0.550708945,0.678059634
MP8,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,16,1,13,15,12,10,-1.193348438,0.055022975,0.524626585,1.613698878
MP8,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,15,1,13,11,15,6,-1.413664312,-0.006117123,2.247720829,0.172060607
MP8,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,13,1,14,7,10,5,-0.320619952,0.002129289,0.46801019,0.850480472
MP8,2,7,3,2&2,1,1,2,3,5,6,12,18,315,34,3.6136,23,139.97,5.35,12,1,10,5,10,2,-1.733173198,0.007877268,1.115073552,1.610222378
MP8,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,12,1,15,10,13,6,-0.305455982,0.01726509,0.65997917,0.628211722
MP8,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,301,52,3.61121,36,191.39,6.5,11,1,5,10,15,11,0.897820562,0.023759813,0.106779042,-0.028359417
MP8,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,220,66,3.66233,39,182.54,4.54,13,1,7,10,10,8,0.593008013,0.029246636,0.12114697,0.25659838
MP8,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,255,44,3.81007,26,200.74,5.45,16,1,15,11,15,10,-0.450262345,0.012597813,0.337707048,1.099957483
MP8,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,390,43,3.73706,25,161.35,5.47,14,1,14,10,15,6,-0.484011306,-0.011440082,0.344701883,1.150749506
MP8,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,12,1,5,5,12,4,0.8988624,0.032748471,-0.169341181,0.23773031
MP8,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,435,25,3.53262,12,145.72,6.03,18,1,15,15,18,11,0.863955108,0.025514386,-0.178081835,0.288612341
MP9,2,1,1,2&1,0,0,0,2,2,0,2,2,238,72,4.37049,50,214.46,4.96,3,1,3,2,5,5,0.293344102,-0.045653573,0.069058257,0.683251214
MP9,2,2,2,2&1,1,1,1,3,4,2,6,8,246,68,4.28022,53,183.16,4.81,5,1,5,3,5,5,0.203291279,0.001421011,0.070587612,0.724700098
MP9,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,194,65,4.47011,45,311.19,7.2,5,1,10,2,8,5,0.099965987,-0.0230096,0.098089258,0.824954355
MP9,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,227,68,4.19109,56,186.86,4.3,5,1,7,5,8,8,0.199152342,-0.010327179,0.06986107,0.741313767
MP9,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,222,78,4.48459,51,249.43,5.87,8,1,12,5,15,10,0.189091074,0.002674545,0.093393462,0.71484092
MP9,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,210,70,4.167,45,217.31,4.96,10,1,10,5,8,10,0.214375447,-0.013317399,0.082974954,0.715966999
MP9,2,7,3,2&2,1,1,2,3,5,6,12,18,267,50,4.44555,29,243.88,6.4,15,1,15,15,18,20,0.213343996,-0.019724835,0.06686838,0.739512459
MP9,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,206,99,4.42922,63,262.95,6.16,12,1,12,10,12,15,0.211157087,-0.018942578,0.09444899,0.713336501
MP9,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,276,34,4.00169,14,186.85,4.9,18,1,18,20,15,18,0.263494655,-0.024707188,0.085134229,0.676078305
MP9,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,221,64,4.07737,40,186.03,4.62,8,1,10,8,12,8,0.209822373,-0.015460922,0.065890283,0.739748267
MP9,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,212,37,4.20434,24,210.21,4.91,10,1,10,8,10,12,0.186124543,0.014370245,0.093801747,0.705703465
MP9,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,243,67,4.30647,35,183.68,4.28,12,1,15,10,12,13,0.18557058,0.000812442,0.084641707,0.728975271
MP9,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,240,35,4.26846,28,210.73,5.26,15,1,12,10,12,10,0.206152041,-0.02504348,0.045710654,0.773180784
MP9,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,214,43,4.2956,21,210.43,5.42,15,1,18,15,18,18,0.194761937,-0.019344247,0.092312747,0.732269563
