Participant,Strategy,TOI,StageNumber,#Digits,#CarriesPlace,#CarriesPlace,InterimDuring_Avg,InterimAfter_Avg,InterimSum_Avg,InterimDuring_tot,InterimAfter_tot,InterimSum_tot,Average_duration_of_whole_fixations,Number_of_whole_fixations,Average_whole_fixation_pupil_diameter,Number_of_saccades,Average_peak_velocity_of_saccades,Average_amplitude_of_saccades,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,RelaAlpha,RelaBeta,RelaTheta,RelaDelta
MP13,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,4,1,4,10,4,1,2.329514042,-0.247426511,0.836051006,-1.918138538
MP13,2,2,2,2&1,1,1,1,3,4,2,6,8,2359,4,3.59738,2,122.33,6.65,3,1,3,8,3,1,-0.297530092,0.023552362,0.044092356,1.229885374
MP13,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,2362,12,3.44478,10,117.05,3.27,6,1,3,9,4,1,0.439179683,0.004525817,-0.015039045,0.571333544
MP13,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,1444,9,3.50113,9,114.97,3.73,6,1,3,8,3,1,1.355098766,-0.117086393,0.004502067,-0.242514439
MP13,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,912,26,3.49831,27,127.92,4.92,8,1,4,6,5,1,0.869979022,-0.125677377,-0.411630783,0.667329138
MP13,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,2419,6,3.41885,6,133.82,3.88,6,1,4,7,4,1,1.823862824,-0.313288934,1.417397098,-1.927970988
MP13,2,7,3,2&2,1,1,2,3,5,6,12,18,2259,10,3.44981,13,126.66,3.56,5,1,3,8,3,1,6.4054042,-0.383930084,2.833370491,-7.854844607
MP13,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,1026,27,3.4908,27,126.26,4.7,6,1,3,7,3,1,0.503052145,0.001028933,0.136341584,0.359577338
MP13,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,2297,12,3.51243,11,119.58,4.28,7,1,4,7,4,1,-0.0445889,0.022677085,0.121472876,0.900438938
MP13,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,973,28,3.55515,27,119.48,3.74,5,1,3,9,3,1,0.514152025,0.007037793,0.36805639,0.110753792
MP13,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,580,1,3.33326,2,137.19,7.97,7,1,3,6,4,1,0.404793292,-0.021193965,0.273150356,0.343250317
MP13,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,1141,16,3.58887,17,134.01,4.49,6,1,3,7,4,1,-7.62774464,0.318941478,-0.978375284,9.287178445
MP13,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,749,33,3.53067,33,141.58,6.02,7,1,4,7,4,1,-1.342637771,0.14343319,0.384353078,1.814851503
MP13,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,2180,12,3.45947,13,163.64,7.4,10,1,5,2,7,2,0.283012042,0.000655696,0.264923871,0.45140839
MP14,2,1,1,2&1,0,0,0,2,2,0,2,2,,,,,,,5,1,10,7,5,5,0.108855113,0.045599401,0.134183047,0.711362438
MP14,2,2,2,2&1,1,1,1,3,4,2,6,8,,,,,,,4,1,11,4,11,2,0.085346713,0.040529273,0.100845982,0.773278032
MP14,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,,,,,,,10,2,15,5,12,10,0.214229783,0.050307057,0.297445413,0.438017748
MP14,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,,,,,,,11,2,12,8,10,8,0.070869004,0.030200895,0.152528638,0.746401463
MP14,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,,,,,,,13,1,7,5,15,13,0.126569129,0.06559459,0.297674464,0.510161816
MP14,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,,,,,,,15,1,12,15,17,12,0.048105267,0.026107269,0.111342099,0.814445365
MP14,2,7,3,2&2,1,1,2,3,5,6,12,18,,,,,,,14,1,12,12,15,13,0.076227688,0.064742103,0.165286988,0.693743221
MP14,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,10,1,12,9,12,7,0.053733107,0.037130348,0.135533566,0.773602979
MP14,2,9,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,,,,,,,17,1,15,17,15,17,0.079830113,0.053014168,0.133315094,0.733840625
MP14,2,10,3,2&2,2,2,1.67,5,6.67,8,15,23,,,,,,,14,1,10,14,12,14,0.136261949,0.087885177,0.177100227,0.598752646
MP14,2,11,3,2*1,1,1,2.67,5,7.67,8,15,23,,,,,,,17,2,13,13,15,16,0.092710126,0.066524811,0.167522079,0.673242985
MP14,2,12,4,3&2,2,2,2.5,5.25,7.75,10,21,31,,,,,,,17,2,18,4,15,15,0.107120899,0.077020395,0.327140878,0.488717829
MP14,2,13,5,3&3,3,3,2.4,4,6.4,12,20,32,,,,,,,18,1,18,17,15,16,0.119150734,0.120104316,0.127751594,0.632993356
MP14,2,14,9,2*1&2*1,2,2,4.56,6.44,11,41,58,99,,,,,,,19,1,17,17,15,12,0.097040947,0.071105115,0.139049452,0.692804487
MP15,2,1,1,2&1,0,0,0,2,2,0,2,2,1608,7,3.10053,8,116.22,2.73,4,1,5,5,5,1,-0.007524659,0.055172276,0.094602089,0.857750294
MP15,2,2,2,2&1,1,1,1,3,4,2,6,8,1169,2,3.42548,2,104.45,7.21,7,1,4,10,10,4,0.023789104,0.053267765,0.162421177,0.760521954
MP15,2,3,3,1*1&1*1 (1),0,0,1.67,2.33,4,5,7,12,672,20,2.90786,23,143.83,4.82,7,1,10,12,7,5,0.315085563,0.096539731,0.187742401,0.400632306
MP15,2,4,4,1*1&1*1 (1),1,1,1.5,3.25,4.75,6,13,19,661,21,2.91238,25,136.01,4.2,7,1,7,10,7,5,0.420827805,0.014874334,0.235548912,0.328748949
MP15,2,5,3,3&2,1,1 (tens carrying),2,3.67,5.67,6,11,17,538,32,3.03059,36,150.55,6.1,10,1,10,12,10,5,12.74262027,-0.389770217,-0.215611463,-11.13723859
MP15,2,6,4,1*1&1*1 (2),0,0,2,3.5,5.5,8,14,22,643,19,2.99387,23,138.12,5.19,7,1,5,12,7,5,1.305553586,0.268242279,-0.09684467,-0.476951195
MP15,2,7,3,2&2,1,1,2,3,5,6,12,18,646,18,3.04162,21,136.37,4.58,7,1,5,12,5,4,-0.09725185,0.050165021,0.147732122,0.899354706
MP15,2,8,3,3&2,1,1 (units carrying),2,4.33,6.33,6,13,19,500,32,3.04866,34,135.04,4.51,7,1,7,12,7,5,-0.055283398,0.050716695,0.18911142,0.815455283
